DATE,UNRTUKA
1920-01-01,1.95
1921-01-01,11.02
1922-01-01,9.68
1923-01-01,7.99
1924-01-01,7.12
1925-01-01,7.76
1926-01-01,8.67
1927-01-01,6.71
1928-01-01,7.43
1929-01-01,7.18
1930-01-01,11.10
1931-01-01,14.88
1932-01-01,15.39
1933-01-01,13.93
1934-01-01,11.73
1935-01-01,10.87
1936-01-01,9.25
1937-01-01,7.70
1938-01-01,9.20
1939-01-01,5.68
1940-01-01,2.99
1941-01-01,1.03
1942-01-01,0.44
1943-01-01,0.32
1944-01-01,0.28
1945-01-01,0.41
1946-01-01,2.04
1947-01-01,1.62
1948-01-01,1.64
1949-01-01,1.53
1950-01-01,1.82
1951-01-01,1.57
1952-01-01,2.36
1953-01-01,2.03
1954-01-01,1.77
1955-01-01,1.55
1956-01-01,1.64
1957-01-01,1.89
1958-01-01,2.53
1959-01-01,2.64
1960-01-01,2.14
1961-01-01,2.07
1962-01-01,2.60
1963-01-01,3.10
1964-01-01,2.40
1965-01-01,2.26
1966-01-01,2.47
1967-01-01,3.37
1968-01-01,3.49
1969-01-01,3.50
1970-01-01,3.75
1971-01-01,4.14
1972-01-01,4.34
1973-01-01,3.65
1974-01-01,3.65
1975-01-01,4.50
1976-01-01,5.40
1977-01-01,5.59
1978-01-01,5.51
1979-01-01,5.38
1980-01-01,6.81
1981-01-01,9.65
1982-01-01,10.72
1983-01-01,11.47
1984-01-01,11.77
1985-01-01,11.36
1986-01-01,11.32
1987-01-01,10.43
1988-01-01,8.57
1989-01-01,7.22
1990-01-01,7.10
1991-01-01,8.82
1992-01-01,9.95
1993-01-01,10.37
1994-01-01,9.50
1995-01-01,8.62
1996-01-01,8.10
1997-01-01,6.97
1998-01-01,6.26
1999-01-01,5.98
2000-01-01,5.46
2001-01-01,5.10
2002-01-01,5.19
2003-01-01,5.01
2004-01-01,4.75
2005-01-01,4.83
2006-01-01,5.42
2007-01-01,5.33
2008-01-01,5.69
2009-01-01,7.61
2010-01-01,7.87
2011-01-01,8.11
2012-01-01,7.97
2013-01-01,7.61
2014-01-01,6.18
2015-01-01,5.38
2016-01-01,4.90
